ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
434,20161201,20131211,20131206,104,295,1,36,8,SO71691,2,2,2,356.898,713.796,0,0,360.9428,721.8856,713.796,57.1037,17.8449,6C08-4906-9B,PO4321155972,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
222,20161201,20131211,20131206,104,295,1,36,8,SO71691,4,2,2,20.994,41.988,0,0,13.0863,26.1726,41.988,3.359,1.0497,6C08-4906-9B,PO4321155972,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
436,20161201,20131211,20131206,609,282,1,100,4,SO71774,1,1,1,356.898,356.898,0,0,360.9428,360.9428,356.898,28.5518,8.9225,3723-466C-B0,PO348186287,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
418,20161201,20131211,20131206,609,282,1,100,4,SO71774,2,1,1,356.898,356.898,0,0,360.9428,360.9428,356.898,28.5518,8.9225,3723-466C-B0,PO348186287,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
573,20161201,20131211,20131206,595,293,1,100,1,SO71775,1,1,1,1430.442,1430.442,0,0,1481.9379,1481.9379,1430.442,114.4354,35.7611,9751-46BB-84,PO58159451,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
555,20161201,20131211,20131206,595,293,1,100,1,SO71775,2,1,3,63.9,191.7,0,0,47.286,141.858,191.7,15.336,4.7925,9751-46BB-84,PO58159451,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
490,20161201,20131211,20131206,595,293,1,100,1,SO71775,3,1,4,32.394,129.576,0,0,41.5723,166.2892,129.576,10.3661,3.2394,9751-46BB-84,PO58159451,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
514,20161201,20131211,20131206,106,288,1,98,10,SO71776,1,1,1,63.9,63.9,0,0,47.286,47.286,63.9,5.112,1.5975,9497-48B1-BA,PO19952192051,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
408,20161201,20131211,20131206,128,289,1,100,1,SO71777,1,1,3,72.162,216.486,0,0,53.3999,160.1997,216.486,17.3189,5.4122,FCA0-443C-BF,PO20097113391,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
436,20161201,20131211,20131206,128,289,1,100,1,SO71777,2,1,2,356.898,713.796,0,0,360.9428,721.8856,713.796,57.1037,17.8449,FCA0-443C-BF,PO20097113391,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
467,20161201,20131211,20131206,557,283,1,100,2,SO71778,1,1,1,14.694,14.694,0,0,9.1593,9.1593,14.694,1.1755,0.3674,C735-48DB-B1,PO19894146890,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
566,20161201,20131211,20131206,557,283,1,100,2,SO71778,2,1,1,445.41,445.41,0,0,461.4448,461.4448,445.41,35.6328,11.1353,C735-48DB-B1,PO19894146890,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
554,20161201,20131211,20131206,557,283,1,100,2,SO71778,3,1,1,54.942,54.942,0,0,40.6571,40.6571,54.942,4.3954,1.3736,C735-48DB-B1,PO19894146890,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
497,20161201,20131211,20131206,557,283,1,100,2,SO71778,4,1,1,602.346,602.346,0,0,601.7437,601.7437,602.346,48.1877,15.0587,C735-48DB-B1,PO19894146890,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
589,20161201,20131211,20131206,149,272,1,100,3,SO71779,1,1,2,461.694,923.388,0,0,419.7784,839.5568,923.388,73.871,23.0847,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
543,20161201,20131211,20131206,149,272,1,100,3,SO71779,2,1,2,37.254,74.508,0,0,27.568,55.136,74.508,5.9606,1.8627,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
234,20161201,20131211,20131206,149,272,1,100,3,SO71779,3,1,3,29.994,89.982,0,0,38.4923,115.4769,89.982,7.1986,2.2496,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
590,20161201,20131211,20131206,149,272,1,100,3,SO71779,4,1,3,461.694,1385.082,0,0,419.7784,1259.3352,1385.082,110.8066,34.6271,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
524,20161201,20131211,20131206,149,272,1,100,3,SO71779,5,1,1,158.43,158.43,0,0,144.5938,144.5938,158.43,12.6744,3.9608,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
222,20161201,20131211,20131206,149,272,1,100,3,SO71779,6,1,6,20.994,125.964,0,0,13.0863,78.5178,125.964,10.0771,3.1491,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
512,20161201,20131211,20131206,149,272,1,100,3,SO71779,7,1,1,218.454,218.454,0,0,199.3757,199.3757,218.454,17.4763,5.4614,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
599,20161201,20131211,20131206,149,272,1,100,3,SO71779,8,1,3,323.994,971.982,0,0,294.5797,883.7391,971.982,77.7586,24.2996,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
594,20161201,20131211,20131206,149,272,16,100,3,SO71779,9,1,3,112.998,338.994,0.40000000000000002,135.5976,308.2179,924.6537,203.3964,16.2717,5.0849,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
587,20161201,20131211,20131206,149,272,1,100,3,SO71779,10,1,6,461.694,2770.164,0,0,419.7784,2518.6704,2770.164,221.6131,69.2541,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
400,20161201,20131211,20131206,149,272,1,100,3,SO71779,11,1,2,37.152,74.304,0,0,27.4925,54.985,74.304,5.9443,1.8576,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
357,20161201,20131211,20131206,149,272,1,100,3,SO71779,12,1,4,1391.994,5567.976,0,0,1265.6195,5062.478,5567.976,445.4381,139.1994,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
491,20161201,20131211,20131206,149,272,1,100,3,SO71779,13,1,4,32.394,129.576,0,0,41.5723,166.2892,129.576,10.3661,3.2394,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
511,20161201,20131211,20131206,149,272,1,100,3,SO71779,14,1,3,218.454,655.362,0,0,199.3757,598.1271,655.362,52.429,16.3841,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
490,20161201,20131211,20131206,149,272,1,100,3,SO71779,15,1,6,32.394,194.364,0,0,41.5723,249.4338,194.364,15.5491,4.8591,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
477,20161201,20131211,20131206,149,272,1,100,3,SO71779,16,1,10,2.994,29.94,0,0,1.8663,18.663,29.94,2.3952,0.7485,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
487,20161201,20131211,20131206,149,272,1,100,3,SO71779,17,1,8,32.994,263.952,0,0,20.5663,164.5304,263.952,21.1162,6.5988,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
483,20161201,20131211,20131206,149,272,1,100,3,SO71779,18,1,6,72,432,0,0,44.88,269.28,432,34.56,10.8,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
596,20161201,20131211,20131206,149,272,1,100,3,SO71779,19,1,2,323.994,647.988,0,0,294.5797,589.1594,647.988,51.839,16.1997,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
597,20161201,20131211,20131206,149,272,1,100,3,SO71779,20,1,2,323.994,647.988,0,0,294.5797,589.1594,647.988,51.839,16.1997,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
598,20161201,20131211,20131206,149,272,1,100,3,SO71779,21,1,1,323.994,323.994,0,0,294.5797,294.5797,323.994,25.9195,8.0999,CD9F-4322-BC,PO19633118218,2016-12-01 00:00:00,2013-12-11 00:00:00,2013-12-06 00:00:00
